Merk: Toyota, Type: Corolla, Kenteken: AB-123-CD, Kleur: Rood, Aanschafjaar: 2018, Soort: Auto
Merk: Ford, Type: Focus, Kenteken: EF-456-GH, Kleur: Blauw, Aanschafjaar: 2019, Soort: Auto
Merk: Volkswagen, Type: Golf, Kenteken: IJ-789-KL, Kleur: Zwart, Aanschafjaar: 2020, Soort: Auto
Merk: Honda, Type: Civic, Kenteken: MN-012-OP, Kleur: Wit, Aanschafjaar: 2017, Soort: Auto
Merk: BMW, Type: 3 Serie, Kenteken: QR-345-ST, Kleur: Grijs, Aanschafjaar: 2021, Soort: Auto
Merk: Audi, Type: A4, Kenteken: UV-678-WX, Kleur: Zilver, Aanschafjaar: 2016, Soort: Auto
Merk: Mercedes, Type: C-Klasse, Kenteken: YZ-901-AB, Kleur: Blauw, Aanschafjaar: 2022, Soort: Auto
Merk: Nissan, Type: Qashqai, Kenteken: CD-234-EF, Kleur: Groen, Aanschafjaar: 2015, Soort: Auto
Merk: Peugeot, Type: 208, Kenteken: GH-567-IJ, Kleur: Rood, Aanschafjaar: 2021, Soort: Auto
Merk: Renault, Type: Clio, Kenteken: KL-890-MN, Kleur: Zwart, Aanschafjaar: 2018, Soort: Auto
Merk: Hobby, Type: De Luxe, Kenteken: OP-123-QR, Kleur: Wit, Aanschafjaar: 2017, Soort: Auto
Merk: Fendt, Type: Bianco, Kenteken: ST-456-UV, Kleur: Grijs, Aanschafjaar: 2018, Soort: Auto
Merk: Knaus, Type: Sport, Kenteken: WX-789-YZ, Kleur: Blauw, Aanschafjaar: 2019, Soort: Auto
Merk: Dethleffs, Type: Camper, Kenteken: AB-012-CD, Kleur: Groen, Aanschafjaar: 2016, Soort: Auto
Merk: Adria, Type: Altea, Kenteken: EF-345-GH, Kleur: Zilver, Aanschafjaar: 2020, Soort: Auto
Merk: Eriba, Type: Touring, Kenteken: IJ-678-KL, Kleur: Rood, Aanschafjaar: 2015, Soort: Auto
Merk: Tabbert, Type: Puccini, Kenteken: MN-901-OP, Kleur: Zwart, Aanschafjaar: 2021, Soort: Auto
Merk: Burstner, Type: Premio, Kenteken: QR-234-ST, Kleur: Wit, Aanschafjaar: 2019, Soort: Auto
Merk: LMC, Type: Musica, Kenteken: UV-567-WX, Kleur: Blauw, Aanschafjaar: 2018, Soort: Auto
Merk: Sprite, Type: Cruzer, Kenteken: YZ-890-AB, Kleur: Grijs, Aanschafjaar: 2022, Soort: Auto
Merk: Hobby, Type: De Luxe, Kenteken: AB-123-CD, Kleur: Wit, Aanschafjaar: 2018, Soort: Caravan
Merk: Fendt, Type: Bianco, Kenteken: EF-456-GH, Kleur: Grijs, Aanschafjaar: 2019, Soort: Caravan
Merk: Knaus, Type: Sport, Kenteken: IJ-789-KL, Kleur: Blauw, Aanschafjaar: 2020, Soort: Caravan
